Location,Common,Rare,Legendary
Kitchen,"deck of cards;bottle caps;butchers knife;cans of food;bottle of water;batteries;matches;plastic bags;granola bar;nuts;dried fruit;styrofoam plates;styrofoam cups","flashlight;camping stove;first aid kit;water purification tablets;lantern;aluminum foil;dish rags","alcohol;MRE;water purifier"
Car,"clothing(winter);car keys;jumper cables;backpack;batteries;flashlight;bottle caps;sunglasses;portable charger;headphones;candy;chocolate bar;bottled water","tools;GPS;tire iron;jack;tire repair kit;window breaker;matches;lighter;pocket knife;pepper spray;oil;oil filter","portable generator;fire extinguisher;crowbar;firearm;ammunition;machete"
Bedroom,"bottle caps;clothing;bottle of water;bedsheets;books;alarm closk;granola bar;nuts;dried fruit;flashlight;first aid kit;bandages;water bottle;backpack;baseball bat;map","duct tape;rope;multi-tool;bandages;alcohol","packing peanuts;playing cards;sword;katana;EXPERIMENTAL MEDICATION"
Garage,"repair kit;bottle caps;toolbox;wrench;hammer;rope;nails;screws;oil;screwdriver;gas can;chainsaw;pliers;electric drill;flashlight;oil filter;lantern;bungee cord;paint","tarpaulin;car parts;power tools;chains;crowbar;fire extinguisher;first aid kit;propane tank;matches;fire extinguisher;lighter","generator;sword;machete;portable generator"
Bathroom,"duct tape;band aids;perscirption medication;bandages;soap;shampoo;toothpaste;towels;cleaning supplies;razor blades;painkillers;hand sanitizer","lantern;washcloths","batteries;flashlight;walkie talkies;hidden stache;EXPERIMENTAL MEDICATION"
Warehouse,"repair kit;bottle caps;canned food;bottled water;power tools;generator;fuel tank;first aid kit;work gloves","heavy duty chains;pallet jack;industiral adhesive;emergency blanket;extension cord;fuel can;batteries;flashlight;walkie talkies","forklift keys;golf cart keys;kevlar gloves;lockpicking tools;crowbar;welding equipment"
General Store,"repair kit;bottle caps;canned food;bottled water;chips;chocolate bars;nuts;batteries;flashlight;lighters;matches;tent;sleeping bag;knife;rope;duct tape","map;compass;repair kit;gas can;multitool;propane canister;camping stove;water purification tablets;repair kit","crowbar;general store keys;kevlar gloves;lockpicking tools;tactical gear;nightvision googles;ammunition;solarpowered battery charger;water filter;firearm;MRE;satellite phone;combat boots"
Supermarket,"bottle caps;canned food;pasta;rice;bottled water;chips;cookies;crackers;chocolate bars;sodas;juices;pots;pans;utensils;bleach;disinfectants;toilet paper;soap;shampoo;pet food;first aid kits;backpacks;bags","batteries;energy drink;jerky;cooking oil;tools;baby supplies;can opener","hunting knife;first aid kit;generator;solar powered flashllight;tactical gear;pain killers;antibiotics;survival gear; water filtration system;survival food kit"
Hardware Store,"repair kit;bottle caps;building supplies;tools;nails;tarps;duct tape;rope;chains;generator;plumbing supplies;safety equipment;electrical supplies;gardening tools;locks;paint;power tools;wrench;hammer;screwdrivers;plumbing pipes","propane tank;ladder;fuel can;welding equipment","Tactical axe;industrial adhesive;survival manual;power tools"
Pharmacy,"bottle caps;painkillers;bandages;antiseptics;gauze;tape;vitamins;allergy relief;feminine hygiene;baby supplies;braces;crutches;thermometers;hearing protection","antibiotics;cold pack;insulin;sterile saline solution;medical gloves;suture kit","Defibrillator;blood bags;radiation medicine;IV kit;Oxygen tank;EXPERIMENTAL MEDICATION"
Police Station,"repair kit;bottle caps;baton;taser;ammo;flashlight;first aid kit;emergency flares;map;batteries;generator;food rations;bottled water;handcuffs;emergency plans;crime scene supplies;flare gun;tear gas;fire extinguisher;smokes","police vest;police helmet;tactical boots;radio;lockpicks;MRE;tactical gear","riot helmet;riot shield;riot armor;kevlar body armor;ballistic shield;flare gun;crowbar;sledgehammer;battering ram;EXPERIMENTAL MEDICATION;night vission goggles;armored vehicle keys;survival training manual;satellite phone;portable emp device;C4"
Military Base,"repair kit;bottle caps;ammo;body armor;tactical gear;MREs;combat first aid kit;radio;satellite phone;fuel can;explosives;night vision goggles;survival training manual;emergency evacuation plans;flare gun;smokes","",""
Hospital,"medical equipment;surgical supplies;antibiotics;blood packs;diagnostic tools;PPE;sterile bandages;oxygen tanks;stretcher;wheelchair;lab equipment;biohazard containers","",""
School,"textbooks;computers;laptops;classroom supplies;sports equipment;lab equipment;chalk;markers;pencils;paper","",""
Shopping Mall,"clothing;electronics;food;camping gear;jewelry;candy;chocolate bar","",""
Amusement Park,"","",""
Pet Store,"pet food;pet medication;brush;nail clippers;pet toys;pet treats;animal first aid kit;bags","",""
Living Room,"","",""
Auto Repair Shop,"engine components;wrench;socket;car battery;jumper cables;air compressor;tire repair kit;motor oil;lubricant;fuel can;fluids;toolbox;service manual","",""
Farm Supplies Store,"crop seeds;fertilizer;pesticides;shovel;rake;hoe;animal feed;fencing;water troughs;garden hose;irrigation system;farming manual;hay","",""
Construction Site,"brick;concrete block;wood plank;metal pipe;ladder;jackhammer;saw;hard hat;construction harness;blueprints;electrical wiring","",""
Gas Station,"fuel;propane tank;motor oil;windshield washer;candy;chocolate bar;nuts;bottled water;energy drink;beef jerky;tire inflator;jumper cables;roadside emergency kit;portable generator;car battery;pack of cigarettes","",""
Military Store,"survival kit;combat knife;hunting knife;field manual;survival manual;military backpack;handheld radio;military fatigues;MRE;purified water;bottle caps","weapon mag;weapon scope;gas mask;respirator;night vision goggles","gilly suit;military boots;tactical helmet;tactical vest;tactical knee pads"
Prison,"bottle caps;deck of cards; police baton;police taser;handcuffs;canned food;dry rations;prison uniform","gauze;first aid kit;antibiotics;radio","riot shield;riot gear;riot helmet;wardens prison key"
